REGIO	ZALTI	LOC	S	SD
11	1	111	1677	-174.92
11	2	112	1677	-174.92
11	3	113	1677	-174.92
21	1	211	1705	273.425
21	2	212	1653	-52.9
21	3	213	1653	-52.9
22	1	221	1635	-59.3
22	2	222	1635	-59.3
22	3	223	1635	-59.3
23	1	231	1542	9.22
23	2	232	1542	9.22
23	3	233	1542	9.22
24	1	241	1671	-145.48
24	2	242	1770	-110.04
24	3	243	1770	-110.04
25	1	251	1693	-140.04
25	2	252	1693	-140.04
25	3	253	1693	-140.04
26	1	261	1808	-97.54
26	2	262	1806	-94.14
26	3	263	1806	-94.14
31	1	311	1652	23.06
31	2	312	1652	23.06
31	3	313	1652	23.06
41	1	411		
41	2	412	1677	-111.32
41	3	413	1677	-111.32
42	1	421	1625	-144.12
42	2	422	1714	-203.58
42	3	423	1714	-203.58
43	1	431		
43	2	432	1784	-122.78
43	3	433	1778	-40.08
52	1	521	1785	-105.44
52	2	522	1785	-105.44
52	3	523	1785	-105.44
53	1	531	1680	-144.24
53	2	532	1680	-144.24
53	3	533	1680	-144.24
54	1	541	2014	-107
54	2	542	2014	-107
54	3	543	2014	-107
72	1	721	2021	-105.78
72	2	722	1956	-4.92
72	3	723	1956	-4.92
73	1	731	2101	-64.5
73	2	732	2046	18.02
73	3	733	2188	-78.34
74	1	741	2005	-49.6
74	2	742	1895	-71.9
74	3	743	1791	-102.95
82	1	821	1958	31.84
82	2	822	2095	-69.84
82	3	823	1242	-787.42
83	1	831	1908	-105.38
83	2	832	2131	-61.32
83	3	833	1948	-34.12
91	1	911	2633	-80.2
91	2	912	2082	-189.48
91	3	913	2083	-16.8
93	1	931	2940	-54.88
93	2	932	2769	-45.34
93	3	933	2546	-31
94	1	941	2628	-280.04
94	2	942	2795	61.6
94	3	943	2795	61.6
