REGIO	ZALTI	LOC	S	SD
11	1	111	1981.4	163.04
11	2	112	1981.4	163.04
11	3	113	1981.4	163.04
21	1	211	1099.9	-444.55
21	2	212	1875.8	236.44
21	3	213	1875.8	236.44
22	1	221	1827.1	146.9
22	2	222	1827.1	146.9
22	3	223	1827.1	146.9
23	1	231	1664.3	133.04
23	2	232	1664.3	133.04
23	3	233	1664.3	133.04
24	1	241	1885.6	62.3
24	2	242	2034.9	185.8
24	3	243	2034.9	185.8
25	1	251	1906.5	53.32
25	2	252	1906.5	53.32
25	3	253	1906.5	53.32
26	1	261	2093.9	288.44
26	2	262	2075.6	230.26
26	3	263	2075.6	230.26
31	1	311	1739.3	139.46
31	2	312	1739.3	139.46
31	3	313	1739.3	139.46
41	1	411	0	-1324.725
41	2	412	1954	207.1
41	3	413	1954	207.1
42	1	421	1888.8	177.9
42	2	422	2072	240.3
42	3	423	2072	240.3
43	1	431	0	
43	2	432	2135	282.92
43	3	433	2068.9	322.9
52	1	521	1954.7	60.38
52	2	522	1954.7	60.38
52	3	523	1954.7	60.38
53	1	531	1849.2	1.32
53	2	532	1849.2	1.32
53	3	533	1849.2	1.32
54	1	541	2110.4	9.72
54	2	542	2110.4	9.72
54	3	543	2110.4	9.72
72	1	721	2151	15.28
72	2	722	2044.6	116.56
72	3	723	2044.6	116.56
73	1	731	2238.5	95.2
73	2	732	2110.5	113.74
73	3	733	2433.6	228.6
74	1	741	2201.8	177.76
74	2	742	2087.8	163.64
74	3	743	2028.8	179.8
82	1	821	2211.1	341.42
82	2	822	2311	205.5
82	3	823	2158.1	184.14
83	1	831	2168.9	216.86
83	2	832	2413.4	275.04
83	3	833	2164.1	257.74
91	1	911	2828.8	158.08
91	2	912	2388.8	148.96
91	3	913	2350.2	375.6
93	1	931	3051	110.28
93	2	932	2833.6	66.66
93	3	933	2679.2	150.1
94	1	941	3022.9	188.5
94	2	942	2858.7	196.04
94	3	943	2858.7	196.04
