REGIO	ZALTI	LOC	T	TD
11	1	111	11.7	-0.28
11	2	112	11.7	-0.28
11	3	113	11.7	-0.28
21	1	211	10.8	-0.42
21	2	212	10.3	-0.88
21	3	213	10.3	-0.88
22	1	221	10.9	-0.24
22	2	222	10.9	-0.24
22	3	223	10.9	-0.24
23	1	231	11.1	-0.16
23	2	232	11.1	-0.16
23	3	233	11.1	-0.16
24	1	241	11.5	-0.26
24	2	242	11.5	-0.44
24	3	243	11.5	-0.44
25	1	251	11.4	-0.2
25	2	252	11.4	-0.2
25	3	253	11.4	-0.2
26	1	261	11.4	-0.4
26	2	262	11.4	-0.36
26	3	263	11.4	-0.36
31	1	311	11.4	-0.08
31	2	312	11.4	-0.08
31	3	313	11.4	-0.08
41	1	411	10.9	-0.44
41	2	412	10.4	-0.38
41	3	413	10.4	-0.38
42	1	421	11.7	-0.22
42	2	422	11.2	-0.36
42	3	423	11.2	-0.36
43	1	431	11.7	-0.48
43	2	432	11.4	-0.36
43	3	433	10.8	-0.38
52	1	521	12.6	-0.26
52	2	522	12.6	-0.26
52	3	523	12.6	-0.26
53	1	531	12.2	-0.28
53	2	532	12.2	-0.28
53	3	533	12.2	-0.28
54	1	541	13.7	-0.18
54	2	542	13.7	-0.18
54	3	543	13.7	-0.18
72	1	721	14.4	-0.06
72	2	722	14.1	0.06
72	3	723	14.1	0.06
73	1	731	14.6	0
73	2	732	13	0.18
73	3	733	11.5	-0.08
74	1	741	13.1	-0.16
74	2	742	12	-0.08
74	3	743	10.9	-0.52
82	1	821	12.2	-0.12
82	2	822	11.4	-0.12
82	3	823	11	0.04
83	1	831	12.2	-0.3
83	2	832	10.7	-0.06
83	3	833	9.5	-0.04
91	1	911	16	0.04
91	2	912	14.9	0.24
91	3	913	10	0.36
93	1	931	16.4	0.28
93	2	932	13.8	0.02
93	3	933	11.4	-0.26
94	1	941	16.5	0.26
94	2	942	16.9	0.4
94	3	943	16.9	0.4
