REGIO	ZALTI	LOC	T	TD
11	1	111	12.5	1.08
11	2	112	12.5	1.08
11	3	113	12.5	1.08
21	1	211	11.6	0.8
21	2	212	11.8	1.2
21	3	213	11.8	1.2
22	1	221	11.8	1.26
22	2	222	11.8	1.26
22	3	223	11.8	1.26
23	1	231	11.9	1.18
23	2	232	11.9	1.18
23	3	233	11.9	1.18
24	1	241	12.2	1
24	2	242	12.4	1.08
24	3	243	12.4	1.08
25	1	251	12.2	1.14
25	2	252	12.2	1.14
25	3	253	12.2	1.14
26	1	261	12.4	1.2
26	2	262	12.4	1.22
26	3	263	12.4	1.22
31	1	311	12.2	1.28
31	2	312	12.2	1.28
31	3	313	12.2	1.28
41	1	411	11.9	1.06
41	2	412	11.5	1.38
41	3	413	11.5	1.38
42	1	421	12.7	1.46
42	2	422	12.2	1.26
42	3	423	12.2	1.26
43	1	431	12.9	1.3
43	2	432	12.4	1.22
43	3	433	11.8	1.2
52	1	521	13.3	0.9
52	2	522	13.3	0.9
52	3	523	13.3	0.9
53	1	531	12.9	0.94
53	2	532	12.9	0.94
53	3	533	12.9	0.94
54	1	541	14.4	0.94
54	2	542	14.4	0.94
54	3	543	14.4	0.94
72	1	721	15	1
72	2	722	14.5	0.88
72	3	723	14.5	0.88
73	1	731	15	0.86
73	2	732	13.3	0.92
73	3	733	11.8	0.64
74	1	741	13.8	1.08
74	2	742	12.5	0.98
74	3	743	11.7	0.62
82	1	821	12.9	1.1
82	2	822	12.1	1.06
82	3	823	11.4	0.9
83	1	831	13	1.12
83	2	832	11.2	0.92
83	3	833	10	1.02
91	1	911	16.4	0.94
91	2	912	15	0.76
91	3	913	10.2	1.46
93	1	931	16.8	1.08
93	2	932	14	0.66
93	3	933	11.7	0.6
94	1	941	16.6	0.68
94	2	942	16.9	0.78
94	3	943	16.9	0.78
