REGIO	ZALTI	LOC	P	PD
11	1	111	659.3	38.62
11	2	112	659.3	38.62
11	3	113	659.3	38.62
21	1	211	621.6	-18.78
21	2	212	966.3	-14.2
21	3	213	966.3	-14.2
22	1	221	721.6	58.24
22	2	222	721.6	58.24
22	3	223	721.6	58.24
23	1	231	901.6	62.04
23	2	232	901.6	62.04
23	3	233	901.6	62.04
24	1	241	711.3	121.3
24	2	242	778.1	127.22
24	3	243	778.1	127.22
25	1	251	691.4	-18.54
25	2	252	691.4	-18.54
25	3	253	691.4	-18.54
26	1	261	870.7	92.24
26	2	262	815.9	10.04
26	3	263	815.9	10.04
31	1	311	837.4	93.36
31	2	312	837.4	93.36
31	3	313	837.4	93.36
41	1	411	669.9	-53.74
41	2	412	782	-173.38
41	3	413	782	-173.38
42	1	421	673.7	21.46
42	2	422	742.2	-58.56
42	3	423	742.2	-58.56
43	1	431	365	-0.2
43	2	432	1165.8	0.28
43	3	433	966.3	-14.2
52	1	521	780.7	104.4
52	2	522	780.7	104.4
52	3	523	780.7	104.4
53	1	531	874.3	208.3
53	2	532	874.3	208.3
53	3	533	874.3	208.3
54	1	541	804.1	34.16
54	2	542	804.1	34.16
54	3	543	804.1	34.16
72	1	721	1005.7	164.2
72	2	722	1343.5	179.28
72	3	723	1343.5	179.28
73	1	731	688.5	132.18
73	2	732	1127.4	154.28
73	3	733	924.3	308.88
74	1	741	936.8	76.02
74	2	742	1032.9	96.4
74	3	743	1004.3	50.2
82	1	821	1360.7	244.5
82	2	822	1163.2	223.4
82	3	823	915.6	-33.64
83	1	831	628.2	58.12
83	2	832	1167.4	146.6
83	3	833	743.9	43.3
91	1	911	936.3	244.92
91	2	912	816.9	209.56
91	3	913	920.6	176.96
93	1	931	689.5	105.36
93	2	932	844.7	36.6
93	3	933	736.7	0.12
94	1	941	732.3	-26.16
94	2	942	766.4	4.28
94	3	943	766.4	4.28
