REGIO	ZALTI	LOC	P	PD
11	1	111	505.3	-126.36
11	2	112	505.3	-126.36
11	3	113	505.3	-126.36
21	1	211	447.3	-183.56
21	2	212	735.9	-255.1
21	3	213	735.9	-255.1
22	1	221	555.5	-134.38
22	2	222	555.5	-134.38
22	3	223	555.5	-134.38
23	1	231	671.6	-189.88
23	2	232	671.6	-189.88
23	3	233	671.6	-189.88
24	1	241	561.7	-67.4
24	2	242	515.6	-172.74
24	3	243	515.6	-172.74
25	1	251	723.6	9.7
25	2	252	723.6	9.7
25	3	253	723.6	9.7
26	1	261	693.7	-114.58
26	2	262	571.7	-244.9
26	3	263	571.7	-244.9
31	1	311	785.6	13.28
31	2	312	785.6	13.28
31	3	313	785.6	13.28
41	1	411	558.3	-172.28
41	2	412	708.2	-226.98
41	3	413	708.2	-226.98
42	1	421	474.7	-182.3
42	2	422	638.8	-161.88
42	3	423	638.8	-161.88
43	1	431	365	-0.2
43	2	432	964.1	-222.02
43	3	433	735.9	-255.1
52	1	521	659.9	-26.78
52	2	522	659.9	-26.78
52	3	523	659.9	-26.78
53	1	531	596.3	-98.32
53	2	532	596.3	-98.32
53	3	533	596.3	-98.32
54	1	541	693.4	-82
54	2	542	693.4	-82
54	3	543	693.4	-82
72	1	721	593.9	-266.58
72	2	722	980.2	-208.08
72	3	723	980.2	-208.08
73	1	731	511.4	-65.34
73	2	732	970.1	-45.38
73	3	733	490.8	-163.4
74	1	741	608.4	-263.18
74	2	742	765	-198.92
74	3	743	642.7	-319.78
82	1	821	963.4	-224.5
82	2	822	859.4	-167
82	3	823	971.5	-11.94
83	1	831	379.1	-214.62
83	2	832	938	-101.6
83	3	833	481.3	-256.5
91	1	911	764.5	29.46
91	2	912	454.4	-209.58
91	3	913	558.7	-230.18
93	1	931	529	-29.36
93	2	932	656.7	-160.38
93	3	933	554.1	-188.78
94	1	941	447.3	-327.86
94	2	942	755.6	-29.32
94	3	943	755.6	-29.32
